@Atkinson,Dalian
Barrett,Earl
Bosnich,Mark
Ehiogu,Ugo
Farrell,David
Houghton,Ray
McGrath,Paul
Parker,Garry
Richardson,Kevin
Saunders,Dean
Small,Bryan
Spink,Nigel
Staunton,Steve
Teale,Shaun
Townsend,Andy
Whittingham,Guy
Yorke,Dwight
Fashanu,John
Lamptey,Nii
King,Phil
@Pallister,Gary
Bruce,Steve
Parker,Paul
Cantona,Eric
Schmeichel,Peter
Sharpe,Lee
Giggs,Ryan
Hughes,Mark
Ince,Paul
Walsh,Gary
Irwin,Denis
Kanchelskis,Andrei
Butt,Nicky
Keane,Roy
May,David
Lawton,Craig
McClair,Brian
McKee,Colin
@Culverhouse,Ian
Butterworth,Ian
Brace,Deryn
Goss,Jeremy
Smith,David
Gunn,Bryan
Sutch,Daryl
Newman,Rob
Eadie,Darren
Ullathorne,Robert
Akinbiyi,Ade
Walton,Mark
Ekoku,Efan
Bowen,Mark
Polston,John
Adams,Neil
Prior,Spencer
Johnson,Adam
Bradshaw,Carl
Newsome,Jon
Milligan,Mike
Robins,Mark
Crook,Ian
@Bart-Williams,Chris
Watson,Gordon
Watts,Julian
Pearce,Andrew
Williams,Mike
Woods,Chris
Sheridan,John
Sinton,Andy
Bright,Mark
Jones,Ryan
Hyde,Graham
Coleman,Simon
Pressman,Kevin
Stewart,Simon
Hirst,David
Petrescu,Dan
Atherton,Peter
Key,Lance
Walker,Des
Taylor,Ian
Waddle,Chris
Nolan,Ian
Ingerrson,Clas
@Williams,John
Borrows,Brian
Jenkinson,Leigh
Ogrizovic,Steve
Rennie,David
Kruszynski,Detsi
Busst,Dave
Harford,Mick
Darby,Julian
Pickering,Ally
Flynn,Sean
Davies,Martin
McGrath,Lloyd
Quinn,Mick
Boland,Willie
Gayle,John
Robson,Stewart
Jones,Cobi
Wegerle,Roy
Dublin,Dion
Cook,Paul
Jones,Cobi
Ndlovu,Peter
@Ripley,Stuart
Newell,Mike
Hendry,Colin
LeSaux,Graeme
Marker,Nicky
Warhurst,Paul
Sutton,Chris
Shearer,Alan
Wilcox,Jason
Sherwood,Tim
Berg,Henning
Mimms,Bobby
Gale,Tony
Gallagher,Kevin
Batty,David
Slater,Robbie
Flowers,Tim
Pearce,Ian
@Sinclair,Trevor
Ready,Karl
Ferdinand,Les
Doyle,Maurice
White,Devon
Meaker,Mike
Roberts,Tony
Stejskal,Jan
Holloway,Ian
Wilson,Clive
Witter,Tony
Maddix,Danny
Brevett,Rufus
Penrice,Gary
